"Refs","Value","Footprint","Qty","DNP"
"C1-C4","33n / 100V","","4",""
"C5-C8","1u / 100V film","","4",""
"C9-C12","1n / 100V","","4",""
"C13-C16","10n / 100V","","4",""
"C101,C121,C150-C153","10u / 25V BP","","6",""
"C102,C103,C122,C123","22p / C0G","","4",""
"C154-C157","100p / C0G","","4",""
"C201-C204","1u / 100V X7R","","4",""
"C205,C206","470u / 80V","","2",""
"C207","10u / 25V","","1",""
"C208-C210,C218,C219","100n / 25V","","5",""
"C211-C213,C302","1u / 16V","","4",""
"C214","47n / 25V","","1",""
"C215","100u / 25V","","1",""
"C216","10u / 16V","","1",""
"C217","100n / 16V","","1",""
"C301","1u / 25V","","1",""
"F1","TBD rating","","1",""
"J1","LEFT BTL","","1",""
"J2","RIGHT BTL","","1",""
"J101","L RCA","","1",""
"J102","R RCA","","1",""
"J201","PVDD INPUT","","1",""
"J202","12V INPUT","","1",""
"J301","STATUS / INPUT ONLY","","1",""
"JP1","1-2 RUN / 2-3 RESET","","1",""
"L1-L4","10u / TBD current","","4",""
"R1-R4","3.3 / power TBD","","4",""
"R101,R121","100k","","2",""
"R102,R122","24.9k / 0.1%","","2",""
"R103-R105,R123-R125","10k / 0.1%","","6",""
"R150-R153","100","","4",""
"R201","3.3","","1",""
"R202","22k / 1%","","1",""
"R203","30k / 1%","","1",""
"R204","10","","1",""
"R205,R206","10k / 1%","","2",""
"R301","1k / 1%","","1",""
"R302","4.7k / 1%","","1",""
"U1","TPA3255DDV","","1",""
"U2,U3","NE5532","","2",""
"U4","TLV76033DBZR","","1",""
